publication,year,endorsed,source,source2,notes
Chicago Sun-Times,2016,Clinton,http://chicago.suntimes.com/opinion/editorial-vote-for-clinton-and-avert-a-train-wreck/,,
Chicago Tribune,1980,Reagan,http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Chicago Tribune,1984,Reagan,http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Chicago Tribune,1988,Bush,http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Chicago Tribune,1992,Bush,http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Chicago Tribune,1996,Dole,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Chicago Tribune,2000,Bush,http://www.nber.org/papers/w14445.pdf,,
Chicago Tribune,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Chicago Tribune,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Chicago Tribune,2012,Obama,http://articles.chicagotribune.com/2012-10-26/news/chi-obama-endorsement-chicago-tribune-20121026_1_president-obama-barack-obama-tax-cuts,,
Chicago Tribune,2016,Johnson,http://www.chicagotribune.com/news/opinion/editorials/ct-gary-johnson-president-endorsement-edit-1002-20160930-story.html,,
Cincinnati Enquirer,1980,Reagan,"Editor & Publisher. Volume 113, Issue 44. Nov 1, 1980. pp. 9, 11, 13.",,
Cincinnati Enquirer,1984,Reagan,"Editor & Publisher. Volume 117, Issue 44. Nov 3, 1984. pp. 11-12.",,
Cincinnati Enquirer,1988,Bush,http://www.upi.com/Archives/1988/10/16/Two-big-Ohio-papers-endorse-Bush/5565592977600/,,
Cincinnati Enquirer,1992,Bush,http://www.nytimes.com/1992/10/26/us/the-1992-campaign-more-newspapers-endorse.html,,
Cincinnati Enquirer,1996,Dole,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Cincinnati Enquirer,2000,Bush,http://enquirer.com/editions/2000/10/29/loc_enquirer_endorses.html,,
Cincinnati Enquirer,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Cincinnati Enquirer,2008,McCain,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Cincinnati Enquirer,2012,Romney,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Cincinnati Enquirer,2016,Clinton,http://www.cincinnati.com/story/opinion/editorials/2016/09/23/enquirer-endorses-hillary-clinton-donald-trump/90728344/,,
Cleveland Plain Dealer,1980,Reagan,http://www.cleveland.com/opinion/index.ssf/2012/10/plain_dealer_presidential_endo.html,,
Cleveland Plain Dealer,1984,Reagan,http://www.cleveland.com/opinion/index.ssf/2012/10/plain_dealer_presidential_endo.html,,
Cleveland Plain Dealer,1988,Bush,http://www.cleveland.com/opinion/index.ssf/2012/10/plain_dealer_presidential_endo.html,,
Cleveland Plain Dealer,1992,Clinton,http://www.cleveland.com/opinion/index.ssf/2012/10/plain_dealer_presidential_endo.html,,
Cleveland Plain Dealer,1996,Clinton,http://www.cleveland.com/opinion/index.ssf/2012/10/plain_dealer_presidential_endo.html,,
Cleveland Plain Dealer,2000,Bush,http://www.cleveland.com/opinion/index.ssf/2012/10/plain_dealer_presidential_endo.html,,
Cleveland Plain Dealer,2004,None,http://www.cleveland.com/opinion/index.ssf/2012/10/plain_dealer_presidential_endo.html,,
Cleveland Plain Dealer,2008,Obama,http://www.cleveland.com/opinion/index.ssf/2012/10/plain_dealer_presidential_endo.html,,
Cleveland Plain Dealer,2012,Obama,http://www.cleveland.com/opinion/index.ssf/2012/10/on_the_basis_of_sound_leadersh.html,,
Cleveland Plain Dealer,2016,Clinton,http://www.cleveland.com/opinion/index.ssf/2016/10/in_the_matter_of_our_endorseme.html,,"Under Northeast Ohio Media Group, which also includes other weekly papers in the Cleveland area (cleveland.com is a shared digital arm)"
Columbus Dispatch,1980,Reagan,"Editor & Publisher. Volume 113, Issue 44. Nov 1, 1980. pp. 9, 11, 13.",,
Columbus Dispatch,1984,Reagan,"Editor & Publisher. Volume 117, Issue 44. Nov 3, 1984. pp. 11-12.",,
Columbus Dispatch,1988,Bush,http://www.upi.com/Archives/1988/10/16/Two-big-Ohio-papers-endorse-Bush/5565592977600/,,
Columbus Dispatch,1992,Bush,"Editor & Publisher. Volume 125, Issue 43. Oct 24, 1992. pp. 11, 44.",,
Columbus Dispatch,1996,Dole,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Columbus Dispatch,2000,Bush,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Columbus Dispatch,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Columbus Dispatch,2008,McCain,http://www.dispatch.com/content/stories/editorials/2008/10/19/bikepath2.ART_ART_10-19-08_G4_GUBKEGH.html,,
Columbus Dispatch,2012,Romney,http://www.dispatch.com/content/stories/editorials/2012/10/21/for-president.html,,
Columbus Dispatch,2016,Clinton,http://www.dispatch.com/content/stories/editorials/2016/10/09/1-editorial-for-president-trump-unfit-clinton-is-qualified.html,,
Contra Costa Times,1980,Unknown,,,
Contra Costa Times,1984,Reagan,"Editor & Publisher. Volume 117, Issue 44. Nov 3, 1984. pp. 11-12.",,
Contra Costa Times,1988,Unknown,,,
Contra Costa Times,1992,Clinton,"Editor & Publisher. Volume 125, Issue 43. Oct 24, 1992. pp. 11, 44.",,
Contra Costa Times,1996,Clinton,"Email from Veronica Martinez, Bay Area News Group",,
Contra Costa Times,2000,Bush,https://www.gwu.edu/~action/natendorse5.html,,
Contra Costa Times,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Contra Costa Times,2008,Obama,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Contra Costa Times,2012,Obama,http://www.eastbaytimes.com/2012/10/26/contra-costa-times-editorial-obama-is-the-best-choice-for-a-difficult-job/,,
Contra Costa Times,2016,Unknown,,,
Daily Herald (Illinois),1980,Carter,"Editor & Publisher. Volume 113, Issue 44. Nov 1, 1980. pp. 9, 11, 13.",,
Daily Herald (Illinois),1984,Reagan,"Confirmed via phone by Jim Slusher, Daily Herald Assistant Managing Editor",,
Daily Herald (Illinois),1988,Bush,http://articles.chicagotribune.com/1992-10-29/news/9204070989_1_endorsement-bill-clinton-president-bush,,
Daily Herald (Illinois),1992,None,http://articles.chicagotribune.com/1992-10-29/news/9204070989_1_endorsement-bill-clinton-president-bush,,
Daily Herald (Illinois),1996,Dole,"""The Daily Herald's recommendations."" Daily Herald. Nov 3 1996. p. 16.",,
Daily Herald (Illinois),2000,Bush,https://www.gwu.edu/~action/natendorse5.html,,
Daily Herald (Illinois),2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Daily Herald (Illinois),2008,Obama,http://prev.dailyherald.com/story/?id=243692,,
Daily Herald (Illinois),2012,Romney,http://www.dailyherald.com/article/20121028/discuss/710289939/,,
Daily Herald (Illinois),2016,Clinton,http://www.dailyherald.com/article/20161022/discuss/161029666/,,
Dallas Morning News,1980,Reagan,http://www.cnn.com/2016/09/06/politics/dallas-morning-news-donald-trump-endorsement/,,
Dallas Morning News,1984,Reagan,http://www.cnn.com/2016/09/06/politics/dallas-morning-news-donald-trump-endorsement/,,
Dallas Morning News,1988,Bush,http://www.cnn.com/2016/09/06/politics/dallas-morning-news-donald-trump-endorsement/,,
Dallas Morning News,1992,Bush,http://www.nytimes.com/1992/10/12/us/the-1992-campaign-rivals-each-win-endorsements.html,,
Dallas Morning News,1996,Dole,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Dallas Morning News,2000,Bush,http://www.nber.org/papers/w14445.pdf,,
Dallas Morning News,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Dallas Morning News,2008,McCain,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Dallas Morning News,2012,Romney,http://www.dallasnews.com/opinion/editorials/2012/09/28/we-recommend-mitt-romney-for-president,,
Dallas Morning News,2016,Clinton,http://www.dallasnews.com/opinion/editorials/2016/09/07/recommend-hillary-clinton-us-president,,
Dayton Daily News,1980,Carter,"Editor & Publisher. Volume 113, Issue 44. Nov 1, 1980. pp. 9, 11, 13.",,
Dayton Daily News,1984,Mondale,"Associated Press. Nov 4, 1984.",,
Dayton Daily News,1988,Dukakis,"Associated Press. ""Dukakis blasts 'fear and smear'; Bush repudiates Illinois brochures."" Louisville Courier-Journal. Oct 23, 1988. p. A11.",,
Dayton Daily News,1992,Clinton,"Editor & Publisher. Volume 125, Issue 43. Oct 24, 1992. pp. 11, 44.",,
Dayton Daily News,1996,Clinton,"https://news.google.com/newspapers?nid=1310&dat=19961028&id=P0xWAAAAIBAJ&sjid=HOsDAAAAIBAJ&pg=6754,7621074",,
Dayton Daily News,2000,Gore,https://www2.gwu.edu/~action/natendorse5.html,,
Dayton Daily News,2004,Kerry,https://www2.gwu.edu/~action/2004/cands/natendorse5.html,,
Dayton Daily News,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Dayton Daily News,2012,None,http://www.daytondailynews.com/news/news/local-govt-politics/why-were-not-endorsing/nSspX/,,
Dayton Daily News,2016,Unknown,,,
Daytona Beach News-Journal,1980,Carter,http://www.upi.com/Archives/1980/10/29/The-Daytona-Beach-Fla-Journal-endorsed-President-Carter-but/3242341643600/,"Email from Mark Lane, Daytona Beach News-Journal Columnist","Before merging in 1986, the Daytona Morning Journal and Daytona Evening News were published separately but with a shared editorial board, endorsements were generally published in the joint Sunday News-Journal"
Daytona Beach News-Journal,1984,Mondale,"Associated Press. Nov 5, 1984.","Email from Mark Lane, Daytona Beach News-Journal Columnist","Before merging in 1986, the Daytona Morning Journal and Daytona Evening News were published separately but with a shared editorial board, endorsements were generally published in the joint Sunday News-Journal"
Daytona Beach News-Journal,1988,Bush,http://articles.philly.com/1988-10-31/news/26269586_1_dukakis-backers-candidate-bush-democrat-michael-s-dukakis,,
Daytona Beach News-Journal,1992,Clinton,"Email from Scott Kent, Daytona Beach News-Journal Opinion Editor",,
Daytona Beach News-Journal,1996,Clinton,https://news.google.com/newspapers?id=dnpIAAAAIBAJ&sjid=Bg8EAAAAIBAJ&pg=5010%2C6116161,,
Daytona Beach News-Journal,2000,Gore,https://www.gwu.edu/~action/natendorse5.html,,
Daytona Beach News-Journal,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Daytona Beach News-Journal,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Daytona Beach News-Journal,2012,None,http://www.p2012.org/media/newspendorsegen/index.html,,
Daytona Beach News-Journal,2016,Unknown,,,
Denver Post,1980,None,"https://news.google.com/newspapers?nid=1346&dat=19801102&id=dkdNAAAAIBAJ&sjid=IPsDAAAAIBAJ&pg=4999,449161&hl=en",,
Denver Post,1984,Reagan,http://www.upi.com/Archives/1984/11/04/Several-US-newspapers-waited-until-the-Sunday-before-Election/7137468392400/,,
Denver Post,1988,Bush,http://articles.philly.com/1988-10-31/news/26269586_1_dukakis-backers-candidate-bush-democrat-michael-s-dukakis,,
Denver Post,1992,Clinton,http://www.nytimes.com/1992/10/25/us/the-1992-campaign-in-editorials-5-major-papers-back-clinton.html,,
Denver Post,1996,Clinton,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Denver Post,2000,Gore,http://www.nber.org/papers/w14445.pdf,,
Denver Post,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Denver Post,2008,Obama,http://www.denverpost.com/2008/10/17/post-editorial-board-endorses-obama/,,
Denver Post,2012,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Denver Post,2016,Clinton,https://www.denverpost.com/2016/10/07/denver-post-endorses-hillary-clinton-for-president/,,
Des Moines Register,1972,Nixon,"""Mondale for President."" Des Moines Register. Nov 4, 1984. p. C1.",,1984 endorsement references previous endorsements
Des Moines Register,1976,Carter,"""Mondale for President."" Des Moines Register. Nov 4, 1984. p. C1.",,1984 endorsement references previous endorsements
Des Moines Register,1980,Carter,http://www.upi.com/Archives/1980/11/03/Ronald-Reagan-got-most-of-the-new-newspaper-endorsements/6748342075600/,,
Des Moines Register,1984,Mondale,"""Mondale for President."" Des Moines Register. Nov 4, 1984. p. C1.",,
Des Moines Register,1988,Dukakis,http://articles.philly.com/1988-10-31/news/26269586_1_dukakis-backers-candidate-bush-democrat-michael-s-dukakis,,
Des Moines Register,1992,Clinton,http://www.nytimes.com/1992/10/26/us/the-1992-campaign-more-newspapers-endorse.html,,
Des Moines Register,1996,Clinton,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Des Moines Register,2000,Gore,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Des Moines Register,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Des Moines Register,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Des Moines Register,2012,Romney,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Des Moines Register,2016,Clinton,http://www.desmoinesregister.com/story/opinion/editorials/endorsement/2016/10/15/registers-endorsement-clinton-vote-american-values/92009448/,,
Detroit Free Press,1980,Carter,http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Detroit Free Press,1984,Mondale,http://www.upi.com/Archives/1984/10/29/Reagan-Mondale-endorsed-by-newspapers-a-cross-country/1780467874000/,,
Detroit Free Press,1988,Dukakis,http://www.nytimes.com/1988/10/24/us/politics-dukakis-wins-endorsement-of-newspapers-in-four-cities.html,,
Detroit Free Press,1992,Clinton,http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Detroit Free Press,1996,Clinton,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Detroit Free Press,2000,Gore,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Detroit Free Press,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Detroit Free Press,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Detroit Free Press,2012,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Detroit Free Press,2016,Clinton,http://www.freep.com/story/opinion/editorials/2016/10/30/free-press-endorsement-hillary-clinton-accomplished-mature-choice/92890252/,,
Detroit News,1980,Reagan,http://www.upi.com/Archives/1980/10/26/The-New-York-Times-Sunday-endorsed-President-Carter-for/4516341380800/,,
Detroit News,1984,Reagan,http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Detroit News,1988,Bush,http://www.upi.com/Archives/1988/10/31/Endorsements-show-distaste-for-88-campaign/8214594277200/,,
Detroit News,1992,Bush,http://www.nytimes.com/1992/10/12/us/the-1992-campaign-rivals-each-win-endorsements.html,,
Detroit News,1996,Dole,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Detroit News,2000,Bush,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Detroit News,2004,None,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Detroit News,2008,McCain,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Detroit News,2012,Romney,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Detroit News,2016,Johnson,http://www.detroitnews.com/story/opinion/editorials/2016/09/28/endorse-johnson-president/91254412/,,
Florida Times-Union,1980,Reagan,"Editor & Publisher. Volume 113, Issue 44. Nov 1, 1980. pp. 9, 11, 13.",,"Listed as ""Jacksonville Times Union"""
Florida Times-Union,1984,Reagan,"Editor & Publisher. Volume 117, Issue 44. Nov 3, 1984. pp. 11-12.",,
Florida Times-Union,1988,Bush,"Email from Carol Boone, Times-Union Editorial Page staff",,
Florida Times-Union,1992,Bush,http://articles.latimes.com/1992-10-19/news/mn-442_1_texas-newspapers,,
Florida Times-Union,1996,Dole,"Email from Carol Boone, Times-Union Editorial Page staff",,
Florida Times-Union,2000,Bush,https://www.gwu.edu/~action/natendorse5.html,,
Florida Times-Union,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Florida Times-Union,2008,None,http://jacksonville.com/tu-online/stories/101908/opi_345671362.shtml#.V_EtbZMrIcg,,Editorial board split
Florida Times-Union,2012,Romney,http://jacksonville.com/opinion/editorials/2012-10-26/story/times-union-endorsement-romneys-turnaround-skills-are-right,,
Florida Times-Union,2016,Trump,http://jacksonville.com/opinion/2016-11-04/editorial-trump-change-agent-america-needs,,
Fort Worth Star-Telegram,1980,Reagan,"Editor & Publisher. Volume 113, Issue 44. Nov 1, 1980. pp. 9, 11, 13.",,"Listed as ""Fort Worth Telegram"""
Fort Worth Star-Telegram,1984,Reagan,"Editor & Publisher. Volume 117, Issue 44. Nov 3, 1984. pp. 11-12.",,
Fort Worth Star-Telegram,1988,Bush,"""Bush for president."" Fort Worth Star-Telegram. Oct 23, 1988. p. 3-2.",,Provided by the Fort Worth Library
Fort Worth Star-Telegram,1992,Clinton,http://articles.latimes.com/1992-10-19/news/mn-442_1_texas-newspapers,,
Fort Worth Star-Telegram,1996,Dole,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Fort Worth Star-Telegram,2000,Bush,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Fort Worth Star-Telegram,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Fort Worth Star-Telegram,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Fort Worth Star-Telegram,2012,Romney,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Fort Worth Star-Telegram,2016,Not Trump,http://www.star-telegram.com/opinion/editorials/article109599257.html,,
Fresno Bee,1980,Carter,"https://news.google.com/newspapers?nid=1955&dat=19801102&id=W_chAAAAIBAJ&sjid=FKEFAAAAIBAJ&pg=4337,407405&hl=en",,
Fresno Bee,1984,Mondale,"Email from Bill McEwen, Fresno Bee Editorial Page Editor",,
Fresno Bee,1988,Dukakis,"Editor & Publisher. Volume 121, Issue 44. Oct 29, 1988. pp. 10-11.",,
Fresno Bee,1992,Clinton,"Editor & Publisher. Volume 125, Issue 43. Oct 24, 1992. pp. 11, 44.",,
Fresno Bee,1996,Clinton,"""The Bee recommends."" Fresno Bee. Nov 5, 1996. p. B4.",,
Fresno Bee,2000,Gore,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Fresno Bee,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Fresno Bee,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Fresno Bee,2012,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Fresno Bee,2016,Clinton,http://www.fresnobee.com/opinion/editorials/article106756647.html,,
Grand Rapids Press,1980,Carter,"https://news.google.com/newspapers?nid=1988&dat=19801103&id=_FAiAAAAIBAJ&sjid=3awFAAAAIBAJ&pg=3310,93969",,
Grand Rapids Press,1984,Reagan,http://www.nytimes.com/1992/10/29/us/the-1992-campaign-the-voters-michigan-thinks-rethinks-and-thinks-again.html,"Associated Press. Nov 5, 1984.",
Grand Rapids Press,1988,Bush,Confirmed by Grand Rapids Public Library via phone,,
Grand Rapids Press,1992,Clinton,http://www.nytimes.com/1992/10/29/us/the-1992-campaign-the-voters-michigan-thinks-rethinks-and-thinks-again.html,,
Grand Rapids Press,1996,Dole,Confirmed by Grand Rapids Public Library via phone,,
Grand Rapids Press,2000,Bush,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Grand Rapids Press,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Grand Rapids Press,2008,McCain,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Grand Rapids Press,2012,Romney,http://www.mlive.com/opinion/grand-rapids/index.ssf/2012/10/grand_rapids_press_endorsement.html,,
Grand Rapids Press,2016,Clinton,http://www.mlive.com/opinion/index.ssf/2016/10/hillary_clinton_is_best_for_mi.html,,"As MLive editorial board, which covers several other Michigan newspapers too"
Greensboro News & Record,1980,Unknown/Reagan,"""For President."" Greensboro Record. Oct 30, 1980. p. A6.",,Greensboro Record endorsed Reagan
Greensboro News & Record,1984,Mondale,http://www.upi.com/Archives/1984/11/04/Several-US-newspapers-waited-until-the-Sunday-before-Election/7137468392400/,"""Mondale for president."" Greensboro News & Record. Nov 4, 1984. p. E2.",
Greensboro News & Record,1988,Dukakis,"https://news.google.com/newspapers?nid=1988&dat=19881031&id=1GciAAAAIBAJ&sjid=9KwFAAAAIBAJ&pg=2442,5574346",,
Greensboro News & Record,1992,Clinton,"""Endorsement addendum."" Editor & Publisher. Volume 117, Issue 45. Nov 7, 1992, p. 15.",,
Greensboro News & Record,1996,Clinton,"""More papers make endorsements in presidential race."" Editor & Publisher. Volume 129, Issue 45. Nov 9, 1996. p. 3.",,
Greensboro News & Record,2000,Gore,,,
Greensboro News & Record,2004,Kerry,,,
Greensboro News & Record,2008,None,,,
Greensboro News & Record,2012,None,,,
Greensboro News & Record,2016,Clinton,http://www.greensboro.com/opinion/n_and_r_editorials/our-opinion-clinton-for-president/article_21eb0ff6-9337-5b5f-8c6c-6d90c5009505.html,,
Hartford Courant,1980,Anderson,https://books.google.com/books?id=kXKFfYMjiloC&lpg=PA403&pg=PA403#v=onepage&q&f=false,,
Hartford Courant,1984,Reagan,https://www.washingtonpost.com/archive/politics/1984/10/29/dailies-make-endorsements/e4bcf55f-c765-4606-b65c-f928925d6eb7/,,
Hartford Courant,1988,Bush,http://www.upi.com/Archives/1988/11/01/Lamenting-a-presidential-campaign-lacking-in-issues-and-calling/7002594363600/,,
Hartford Courant,1992,Clinton,http://www.courant.com/opinion/editorials/hc-clintonendorse1996-story.html,,
Hartford Courant,1996,Clinton,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Hartford Courant,2000,Bush,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Hartford Courant,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Hartford Courant,2008,Obama,http://www.courant.com/opinion/editorials/hc-endorsepresidential.artoct26-story.html,,
Hartford Courant,2012,Obama,http://articles.courant.com/2012-10-26/news/hc-ed-obama-endorsement-1028-20121026_1_health-care-reform-obama-didn-t-change-president-barack-obama,,
Hartford Courant,2016,Clinton,http://www.courant.com/opinion/editorials/hc-ed-courant-endorses-hillary-clinton-20161006-story.html,,
Honolulu Star-Advertiser,1980,Reagan/Carter,"https://news.google.com/newspapers?nid=1955&dat=19801102&id=W_chAAAAIBAJ&sjid=FKEFAAAAIBAJ&pg=4337,407405&hl=en","Honolulu Advertiser. Nov 2, 1980. (Confirmed via email by Hawaii State Library)","Honolulu Star-Bulletin endorsed Reagan, Honolulu Advertiser endorsed Carter"
Honolulu Star-Advertiser,1984,Reagan/Unknown,"Associated Press. Nov 5, 1984.",,Honolulu Star-Bulletin endorsed Reagan
Honolulu Star-Advertiser,1988,Dukakis/Unknown,"""Honolulu Newspaper Endorses Dukakis."" Associated Press. Nov 2, 1988.",,Honolulu Star-Bulletin endorsed Dukakis
Honolulu Star-Advertiser,1992,Clinton/None,"https://news.google.com/newspapers?nid=1957&dat=19921026&id=hZNGAAAAIBAJ&sjid=s-kMAAAAIBAJ&pg=1919,7004109","Associated Press. ""Campaign '92 Almanac."" Galveston Daily News. Oct 30, 1992. p. 13.","Honolulu Star-Bulletin endorsed Clinton, Honolulu Advertiser did not endorse"
Honolulu Star-Advertiser,1996,Clinton,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,http://archives.starbulletin.com/96/11/04/editorial/editorials.html,Honolulu Star-Bulletin and Honolulu Advertiser both endorsed Clinton
Honolulu Star-Advertiser,2000,Gore,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,http://archives.starbulletin.com/2000/11/02/editorial/editorials.html,Honolulu Star-Bulletin and Honolulu Advertiser both endorsed Gore
Honolulu Star-Advertiser,2004,Kerry,https://www2.gwu.edu/~action/2004/cands/natendorse5.html,http://www.wsj.com/articles/SB109811141470348043,Honolulu Star-Bulletin and Honolulu Advertiser both endorsed Kerry
Honolulu Star-Advertiser,2008,Obama/None,http://archives.starbulletin.com/content/20081104_Advertiser_opts_not_to_endorse_any_candidate_for_president,http://archives.starbulletin.com/2008/06/05/editorial/editorial01.html,"Honolulu Star-Bulletin endorsed Obama, Honolulu Advertiser did not endorse"
Honolulu Star-Advertiser,2012,Obama,http://www.startribune.com/presidential-endorsements-newspaper-by-newspaper/176115241/,,
Honolulu Star-Advertiser,2016,Clinton,http://www.staradvertiser.com/2016/10/23/editorial/at-long-last-elect-hillary-clinton/,,
Houston Chronicle,1980,Reagan,http://blog.chron.com/txpotomac/2008/10/a-half-century-of-chronicle-endorsements-11-r-2-d/,,
Houston Chronicle,1984,Reagan,http://blog.chron.com/txpotomac/2008/10/a-half-century-of-chronicle-endorsements-11-r-2-d/,,
Houston Chronicle,1988,Bush,http://blog.chron.com/txpotomac/2008/10/a-half-century-of-chronicle-endorsements-11-r-2-d/,,
Houston Chronicle,1992,Bush,http://www.nytimes.com/1992/10/26/us/the-1992-campaign-more-newspapers-endorse.html,,
Houston Chronicle,1996,Dole,http://lasvegassun.com/news/1996/oct/28/midwest-south-papers-like-dole/,,
Houston Chronicle,2000,Bush,http://www.nber.org/papers/w14445.pdf,,
Houston Chronicle,2004,Bush,http://blog.chron.com/txpotomac/2008/10/a-half-century-of-chronicle-endorsements-11-r-2-d/,,
Houston Chronicle,2008,Obama,http://www.chron.com/opinion/recommendations/article/Obama-for-president-Biden-for-vice-president-1764759.php,,
Houston Chronicle,2012,Romney,http://www.chron.com/opinion/editorials/article/Romney-for-president-3965675.php,,
Houston Chronicle,2016,Clinton,http://www.chron.com/opinion/recommendations/article/For-Hillary-Clinton-8650345.php,,
Indianapolis Star,1980,Reagan,http://www.upi.com/Archives/1980/10/26/The-New-York-Times-Sunday-endorsed-President-Carter-for/4516341380800/,,
Indianapolis Star,1984,Reagan,http://www.upi.com/Archives/1984/10/29/Reagan-Mondale-endorsed-by-newspapers-a-cross-country/1780467874000/,,
Indianapolis Star,1988,Bush,"Editor & Publisher. Volume 113, Issue 44. Nov 1, 1980. pp. 9, 11, 13.",,
Indianapolis Star,1992,Bush,"""Why Bush is best."" Indianapolis Star. Nov 1, 1992. p. F-2.",,
Indianapolis Star,1996,Dole,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Indianapolis Star,2000,Bush,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Indianapolis Star,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Indianapolis Star,2008,None,http://www.wthr.com/article/indianapolis-star-passes-presidential-endorsement,,
Indianapolis Star,2012,None,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Indianapolis Star,2016,Unknown,,,
Investor’s Business Daily,2000,Bush,https://www.gwu.edu/~action/natendorse5.html,,
Investor’s Business Daily,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Investor’s Business Daily,2008,McCain,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
